manufacturer,brand,model_family,model,mpn,gtin13,device_class,os,memory_storage_variants,carrier_compatibility,region_availability,condition,moq_band,fulfilment_regions,provisioning_options,kitting_options,ordering_model,lead_time_status,last_updated,canonical_url
Sonim Technologies,Sonim,XP3plus,Sonim XP3plus rugged feature phone,XP3PLUS,,Ruggedised Feature Phone,KaiOS,4GB,Unlocked FirstNet AT&T,North America,New,25-5000,Miami,FirstNet PTT pre-config dedicated PTT button,Asset tag rugged case,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/manufacturers/sonim-rugged-distributor
Kyocera,Kyocera,DuraForce Pro,DuraForce Pro 2,E6920,,Ruggedised Smartphone (MIL-STD-810G IP68),Android Enterprise,64GB,Unlocked Verizon Frontline,North America,New,25-5000,Miami,Google Zero-Touch Verizon Frontline pre-config,Asset tag rugged case,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/products/bulk-android-phones
Apple Inc,Apple,MacBook Pro,MacBook Pro 14 M4 (16GB/512GB),MX2H3LL/A,,Laptop,macOS,16-128GB unified memory / 512GB-8TB SSD,N/A,North America EU UK Middle East APAC Pacific,New,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Apple Business Manager auto-enrolment with Jamf/Mosyle/Kandji/Intune,Asset tag accessory bundle dock USB-C charger,quote_only,10-21 business days,2026-05-02,https://www.solariswireless.com/manufacturers/apple-business-supplier
Apple Inc,Apple,MacBook Air,MacBook Air 13 M3 (8GB/256GB),MRXN3LL/A,,Laptop,macOS,8-24GB unified memory / 256GB-2TB SSD,N/A,North America EU UK Middle East APAC Pacific,New,25-5000,Miami Netherlands Dubai Hong Kong Singapore,ABM auto-enrolment,Asset tag accessory bundle,quote_only,10-21 business days,2026-05-02,https://www.solariswireless.com/manufacturers/apple-business-supplier
Lenovo Group,Lenovo,ThinkPad X1 Carbon,ThinkPad X1 Carbon Gen 12 (16GB/512GB),21KC0014US,,Laptop,Windows 11 Pro,16-64GB DDR5 / 256GB-2TB NVMe,N/A,North America EU UK Middle East APAC Pacific,New TAA-compliant available,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Microsoft Autopilot pre-registration BitLocker custom Windows image,Asset tag dock USB-C charger,quote_only,10-21 business days,2026-05-02,https://www.solariswireless.com/manufacturers/lenovo-thinkpad-enterprise
Lenovo Group,Lenovo,ThinkPad T14,ThinkPad T14 Gen 5 (16GB/512GB),21ML003GUS,,Laptop,Windows 11 Pro,16-96GB DDR5 / 256GB-2TB NVMe,N/A,North America EU UK Middle East APAC Pacific,New TAA-compliant available,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Microsoft Autopilot ThinkShield BitLocker,Asset tag dock charger,quote_only,10-21 business days,2026-05-02,https://www.solariswireless.com/manufacturers/lenovo-thinkpad-enterprise
Lenovo Group,Lenovo,ThinkPad P series,ThinkPad P14s Gen 5 (32GB/1TB),21G2003JUS,,Mobile Workstation,Windows 11 Pro,16-96GB DDR5 / 512GB-4TB NVMe,N/A,North America EU UK,New,25-2000,Miami Netherlands,Autopilot Lenovo Vantage CAD/CAM optimisation,Asset tag dock,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/manufacturers/lenovo-thinkpad-enterprise
Dell Technologies,Dell,Latitude 7000,Latitude 7450 (16GB/512GB),N1031L7450MUSE,,Laptop,Windows 11 Pro,16-64GB DDR5 / 256GB-2TB NVMe,N/A,North America EU UK Middle East APAC Pacific,New TAA-compliant available,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Microsoft Autopilot Dell SafeBIOS BitLocker,Asset tag dock USB-C charger,quote_only,10-21 business days,2026-05-02,https://www.solariswireless.com/manufacturers/dell-latitude-bulk-supplier
Dell Technologies,Dell,Latitude Rugged,Latitude 5430 Rugged (16GB/512GB),NJ43NX,,Ruggedised Laptop (MIL-STD-810H),Windows 11 Pro,16-32GB DDR5 / 256GB-1TB NVMe,N/A,North America EU UK,New TAA-compliant,10-1000,Miami Netherlands,Microsoft Autopilot ruggedised configuration,Asset tag rugged case vehicle mount,quote_only,14-30 business days,2026-05-02,https://www.solariswireless.com/manufacturers/dell-latitude-bulk-supplier
Dell Technologies,Dell,Precision,Precision 5680 (32GB/1TB),N0L7P5680WSEMEA,,Mobile Workstation,Windows 11 Pro,16-64GB DDR5 / 512GB-4TB NVMe,N/A,North America EU UK,New,25-2000,Miami Netherlands,Autopilot Dell Optimizer CUDA workstation config,Asset tag dock,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/manufacturers/dell-latitude-bulk-supplier
HP Inc,HP,EliteBook,EliteBook 845 G11 (16GB/512GB),A37VFUT,,Laptop,Windows 11 Pro,16-64GB DDR5 / 256GB-2TB NVMe,N/A,North America EU UK Middle East APAC Pacific,New TAA-compliant available,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Microsoft Autopilot HP Wolf Security HP Sure Start BitLocker,Asset tag dock USB-C charger,quote_only,10-21 business days,2026-05-02,https://www.solariswireless.com/manufacturers/hp-elitebook-enterprise
HP Inc,HP,ZBook,ZBook Studio 16 G11 (32GB/1TB),A4HVHUT,,Mobile Workstation,Windows 11 Pro,16-128GB DDR5 / 512GB-4TB NVMe,N/A,North America EU UK,New,25-2000,Miami Netherlands,Autopilot HP Wolf Security CAD/CAM ML workstation config,Asset tag dock,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/manufacturers/hp-elitebook-enterprise
SpaceX,Starlink,Standard,Starlink Standard kit,STD-KIT,,Satellite Internet Terminal,Starlink OS,N/A,Starlink network,Worldwide where Starlink available,New,10-1000,Miami Netherlands Dubai Hong Kong Singapore,Account registration enterprise priority data plans,Kit packaging mounting hardware accessory bundle,quote_only,14-30 business days,2026-05-02,https://www.solariswireless.com/products/starlink-connectivity
SpaceX,Starlink,Business,Starlink Business kit,BIZ-KIT,,Satellite Internet Terminal,Starlink OS,N/A,Starlink network,Worldwide where Starlink available,New,10-1000,Miami Netherlands Dubai Hong Kong Singapore,Business priority data plans static IP,Kit packaging mounting hardware,quote_only,14-30 business days,2026-05-02,https://www.solariswireless.com/products/starlink-wholesale
SpaceX,Starlink,Maritime,Starlink Maritime kit,MAR-KIT,,Satellite Internet Terminal Maritime,Starlink OS,N/A,Starlink network maritime coverage,Worldwide maritime,New,10-500,Miami Netherlands Dubai Hong Kong Singapore,Maritime priority data plans vessel mounting,Kit packaging vessel-specific mounting,quote_only,21-45 business days,2026-05-02,https://www.solariswireless.com/products/starlink-wholesale
